"","Sensor","latitude","longitude","area","seconds"
"1",1,-33.91169,18.419043,"Foundry",1
"2",1,-33.911655,18.419056,"Foundry",2
"3",1,-33.91165,18.419064,"Foundry",3
"4",1,-33.91165,18.419067,"Foundry",4
"5",1,-33.91165,18.419062,"Foundry",5
"6",1,-33.91165,18.419065,"Foundry",6
"7",1,-33.911648,18.419064,"Foundry",7
"8",1,-33.91163,18.419052,"Foundry",8
"9",1,-33.911617,18.419043,"Foundry",9
"10",1,-33.91161,18.41903,"Foundry",10
"11",1,-33.911606,18.419006,"Foundry",11
"12",1,-33.911606,18.419006,"Foundry",12
"13",1,-33.911606,18.419006,"Foundry",13
"14",1,-33.911606,18.419006,"Foundry",14
"15",1,-33.911606,18.419006,"Foundry",15
"16",1,-33.911606,18.419006,"Foundry",16
"17",1,-33.911606,18.419006,"Foundry",17
"18",1,-33.911606,18.419006,"Foundry",18
"19",1,-33.911606,18.419006,"Foundry",19
"20",1,-33.911606,18.419006,"Foundry",20
"21",1,-33.911606,18.419006,"Foundry",21
"22",1,-33.911606,18.419006,"Foundry",22
"23",1,-33.911606,18.419006,"Foundry",23
"24",1,-33.911606,18.419006,"Foundry",24
"25",1,-33.911606,18.419006,"Foundry",25
"26",1,-33.911606,18.419006,"Foundry",26
"27",1,-33.911606,18.419006,"Foundry",27
"28",1,-33.911606,18.419006,"Foundry",28
"29",1,-33.911606,18.419006,"Foundry",29
"30",1,-33.911606,18.419006,"Foundry",30
"31",1,-33.911606,18.419006,"Foundry",31
"32",1,-33.911606,18.419006,"Foundry",32
"33",1,-33.911606,18.419006,"Foundry",33
"34",1,-33.911606,18.419006,"Foundry",34
"35",1,-33.911606,18.419006,"Foundry",35
"36",1,-33.911606,18.419006,"Foundry",36
"37",1,-33.911606,18.419006,"Foundry",37
"38",1,-33.911606,18.419006,"Foundry",38
"39",1,-33.911606,18.419006,"Foundry",39
"40",1,-33.911606,18.419006,"Foundry",40
"41",1,-33.911606,18.419006,"Foundry",41
"42",1,-33.911606,18.419006,"Foundry",42
"43",1,-33.911606,18.419006,"Foundry",43
"44",1,-33.911606,18.419006,"Foundry",44
"45",1,-33.911606,18.419006,"Foundry",45
"46",1,-33.911606,18.419006,"Foundry",46
"47",1,-33.911606,18.419006,"Foundry",47
"48",1,-33.911606,18.419006,"Foundry",48
"49",1,-33.911606,18.419006,"Foundry",49
"50",1,-33.911606,18.419006,"Foundry",50
"51",1,-33.911606,18.419006,"Foundry",51
"52",1,-33.911606,18.419006,"Foundry",52
"53",1,-33.911606,18.419006,"Foundry",53
