Sensor,X,Y,Z
0,339.89063,-49.171875,10.59375
3,15,,
0,344.04688,-30.609375,3.921875
4,57.12351,,
3,11,,
2,-1.723,6.742,6.014
0,343.6875,-37.1875,5.484375
4,40.104137,,
3,20,,
2,2.375,5.516,8.083
0,340.3125,-46.078125,10.5
4,40.131977,,
3,10,,
2,0,6.665,5.861
0,334.21875,-33.875,10.109375
4,39.046356,,
3,21,,
2,0.881,7.087,6.972
0,344.65625,-59.296875,10.296875
4,51.619694,,
3,14,,
2,4.865,10.956,4.252
0,358.79688,-62.1875,-0.625
4,48.529564,,
3,54,,
2,0.114,7.316,5.937
0,334.75,-51.609375,14.296875
4,41.964336,,
3,8,,
2,3.945,5.401,8.657
0,304.4375,-42.140625,34.5625
4,40.302383,,
3,7,,
2,5.976,6.32,5.669
0,324.09375,-42.1875,19.703125
4,55.864796,,
3,10,,
2,1.34,6.244,9.002
0,343.09375,-47.3125,8.296875
4,43.863914,,
3,8,,
2,1.838,7.7,5.516
0,339.79688,-40.328125,8.703125
4,60.965076,,
3,11,,
2,1.455,6.32,7.47
0,344.32813,-41.578125,6.4375
4,52.85447,,
3,10,,
2,1.187,6.397,7.508
0,341.65625,-41.875,7.75
4,44.587257,,
3,10,,
2,1.34,6.589,7.202
0,340.90625,-42.21875,8.4375
4,56.77621,,
3,10,,
2,1.11,6.627,6.78
0,339.3125,-43.625,9.4375
4,49.900776,,
1,-33.91169,18.419043,
3,9,,
2,1.762,6.167,6.972
0,324.65625,-38.078125,16.71875
4,56.427967,,
3,9,,
2,2.528,5.669,7.048
1,-33.911655,18.419056,
0,330.42188,-39.015625,14.21875
4,49.165047,,
1,-33.91165,18.419064,
3,10,,
2,2.298,6.129,7.087
0,329.84375,-38.53125,13.59375
4,63.00013,,
1,-33.91165,18.419067,
3,10,,
2,2.566,6.129,7.508
0,325.98438,-41.734375,17.9375
4,59.60682,,
1,-33.91165,18.419062,
3,9,,
2,3.026,6.512,7.01
0,324.1875,-39.734375,17.265625
4,50.733517,,
1,-33.91165,18.419065,
3,9,,
2,2.911,6.167,7.048
4,48.411804,,
0,323.60938,-38.40625,16.609375
1,-33.911648,18.419064,
3,12,,
2,1.723,5.669,8.312
0,332.51563,-40.1875,10.765625
4,54.70654,,
2,1.877,6.359,7.738
1,-33.91163,18.419052,
3,11,,
0,351.65625,-43.265625,0.328125
4,51.294434,,
1,-33.911617,18.419043,
3,11,,
2,0,6.435,7.393
0,346.73438,-41.3125,3.046875
